gene_accession,type,class,mechanism,group,snp,gene_family,product_name,enhanced_class,enhanced_subclass
MEG_2311|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-90,Beta-lactam,ESBL
MEG_2312|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2313|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-95,Beta-lactam,ESBL
MEG_2314|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-100,Beta-lactam,ESBL
MEG_2315|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2316|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2317|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-114,Beta-lactam,ESBL
MEG_2318|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2319|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-92,Beta-lactam,ESBL
MEG_2320|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2321|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-94,Beta-lactam,ESBL
MEG_2322|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-98,Beta-lactam,ESBL
MEG_2323|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-99,Beta-lactam,ESBL
MEG_2324|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-93,Beta-lactam,ESBL
MEG_2325|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2326|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-102,Beta-lactam,ESBL
MEG_2327|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-105,Beta-lactam,ESBL
MEG_2328|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-104,Beta-lactam,ESBL
MEG_2329|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2330|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2331|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-111,Beta-lactam,ESBL
MEG_2332|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2333|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-112,Beta-lactam,ESBL
MEG_2334|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-113,Beta-lactam,ESBL
MEG_2335|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2336|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2337|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-117,Beta-lactam,ESBL
MEG_2338|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-121,Beta-lactam,ESBL
MEG_2339|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2340|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-123,Beta-lactam,ESBL
MEG_2341|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-131,Beta-lactam,ESBL
MEG_2342|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-124,Beta-lactam,ESBL
MEG_2343|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-125,Beta-lactam,ESBL
MEG_2344|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-129,Beta-lactam,ESBL
MEG_2345|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-130,Beta-lactam,ESBL
MEG_2346|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-132,Beta-lactam,ESBL
MEG_2347|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-134,Beta-lactam,ESBL
MEG_2348|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-139,Beta-lactam,ESBL
MEG_2349|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2350|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2351|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-142,Beta-lactam,ESBL
MEG_2352|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-147,Beta-lactam,ESBL
MEG_2353|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-144,Beta-lactam,ESBL
MEG_2354|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-148,Beta-lactam,ESBL
MEG_2355|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2356|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-115,Beta-lactam,ESBL
MEG_2357|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-155,Beta-lactam,ESBL
MEG_2358|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-156,Beta-lactam,ESBL
MEG_2359|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-157,Beta-lactam,ESBL
MEG_2360|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-158,Beta-lactam,ESBL
MEG_2361|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2362|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-160,Beta-lactam,ESBL
MEG_2363|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-5,Beta-lactam,ESBL
MEG_2364|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-1,Beta-lactam,ESBL
MEG_2365|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-3,Beta-lactam,ESBL
MEG_2366|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-4,Beta-lactam,ESBL
MEG_2367|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-150,Beta-lactam,ESBL
MEG_2368|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-159,Beta-lactam,ESBL
MEG_2369|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-60,Beta-lactam,ESBL
MEG_2370|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-58,Beta-lactam,ESBL
MEG_2371|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-61,Beta-lactam,ESBL
MEG_2372|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-65,Beta-lactam,ESBL
MEG_2373|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-44,Beta-lactam,ESBL
MEG_2374|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-68,Beta-lactam,ESBL
MEG_2375|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2376|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2377|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2378|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-17,Beta-lactam,ESBL
MEG_2379|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2380|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2381|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-23,Beta-lactam,ESBL
MEG_2382|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2383|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2384|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2385|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-88,Beta-lactam,ESBL
MEG_2386|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2387|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-89,Beta-lactam,ESBL
MEG_2388|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2389|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-91,Beta-lactam,ESBL
MEG_2390|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2391|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-97,Beta-lactam,ESBL
MEG_2392|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-31,Beta-lactam,ESBL
MEG_2393|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-101,Beta-lactam,ESBL
MEG_2394|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-116,Beta-lactam,ESBL
MEG_2395|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-122,Beta-lactam,ESBL
MEG_2396|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2397|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-136,Beta-lactam,ESBL
MEG_2398|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2399|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-141,Beta-lactam,ESBL
MEG_2400|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-103,Beta-lactam,ESBL
MEG_2401|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-38,Beta-lactam,ESBL
MEG_2402|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-47,Beta-lactam,ESBL
MEG_2403|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-48,Beta-lactam,ESBL
MEG_2404|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-49,Beta-lactam,ESBL
MEG_2405|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-50,Beta-lactam,ESBL
MEG_2406|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-46,Beta-lactam,ESBL
MEG_2407|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-152,Beta-lactam,ESBL
MEG_2408|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2409|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2410|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2411|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2412|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2413|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2414|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-42,Beta-lactam,ESBL
MEG_2415|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2416|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2417|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2418|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2419|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2420|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2421|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2422|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2423|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2424|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2425|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2426|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2427|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2428|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-52,Beta-lactam,ESBL
MEG_2429|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-82,Beta-lactam,ESBL
MEG_2430|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,blaCTX-M,extended-spectrum class A beta-lactamase CTX-M-54,Beta-lactam,ESBL
MEG_2431|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2432|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2433|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2434|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2435|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2436|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2437|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2438|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX,,Unknown,Unknown,Unknown,Unknown
MEG_2439|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CUEA,Metals,Multi-metal resistance,Multi-metal resistance protein,CUEA,,Unknown,Unknown,Unknown,Unknown
MEG_2440|Metals|Copper_resistance|Copper_resistance_protein|CUEO,Metals,Copper resistance,Copper resistance protein,CUEO,,Unknown,Unknown,Unknown,Unknown
MEG_2441|Metals|Copper_resistance|Copper_resistance_protein|CUEP,Metals,Copper resistance,Copper resistance protein,CUEP,,Unknown,Unknown,Unknown,Unknown
MEG_2442|Metals|Copper_resistance|Copper_resistance_regulator|CUER,Metals,Copper resistance,Copper resistance regulator,CUER,,Unknown,Unknown,Unknown,Unknown
MEG_2443|Metals|Copper_resistance|Copper_resistance_regulator|CUER,Metals,Copper resistance,Copper resistance regulator,CUER,,Unknown,Unknown,Unknown,Unknown
MEG_2444|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|CUID,Multi-compound,Biocide and metal resistance,Biocide and metal resistance protein,CUID,,Unknown,Unknown,Unknown,Unknown
MEG_2445|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|CUID,Multi-compound,Biocide and metal resistance,Biocide and metal resistance protein,CUID,,Unknown,Unknown,Unknown,Unknown
MEG_2446|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSA,Metals,Multi-metal resistance,Multi-metal RND efflux pumps,CUSA,,Unknown,Unknown,Unknown,Unknown
MEG_2447|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSB,Metals,Multi-metal resistance,Multi-metal RND efflux pumps,CUSB,,Unknown,Unknown,Unknown,Unknown
MEG_2448|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,Metals,Multi-metal resistance,Multi-metal RND efflux pumps,CUSC,,Unknown,Unknown,Unknown,Unknown
MEG_2449|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,Metals,Multi-metal resistance,Multi-metal RND efflux pumps,CUSC,,Unknown,Unknown,Unknown,Unknown
MEG_2450|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,Metals,Multi-metal resistance,Multi-metal RND efflux pumps,CUSC,,Unknown,Unknown,Unknown,Unknown
MEG_2451|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSF,Metals,Multi-metal resistance,Multi-metal RND efflux pumps,CUSF,,Unknown,Unknown,Unknown,Unknown
MEG_2452|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSR,Metals,Multi-metal resistance,Multi-metal RND efflux regulator,CUSR,,Unknown,Unknown,Unknown,Unknown
MEG_2453|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSS,Metals,Multi-metal resistance,Multi-metal RND efflux regulator,CUSS,,Unknown,Unknown,Unknown,Unknown
MEG_2454|Metals|Copper_resistance|Copper_resistance_protein|CUTA,Metals,Copper resistance,Copper resistance protein,CUTA,,Unknown,Unknown,Unknown,Unknown
MEG_2455|Metals|Copper_resistance|Copper_resistance_protein|CUTC,Metals,Copper resistance,Copper resistance protein,CUTC,,Unknown,Unknown,Unknown,Unknown
MEG_2456|Metals|Copper_resistance|Copper_resistance_protein|CUTC,Metals,Copper resistance,Copper resistance protein,CUTC,,Unknown,Unknown,Unknown,Unknown
MEG_2457|Metals|Copper_resistance|Copper_resistance_protein|CUTE,Metals,Copper resistance,Copper resistance protein,CUTE,,Unknown,Unknown,Unknown,Unknown
MEG_2458|Metals|Copper_resistance|Copper_resistance_protein|CUTF,Metals,Copper resistance,Copper resistance protein,CUTF,,Unknown,Unknown,Unknown,Unknown
MEG_2459|Metals|Copper_resistance|Copper_resistance_protein|CUTO,Metals,Copper resistance,Copper resistance protein,CUTO,,Unknown,Unknown,Unknown,Unknown
MEG_2460|Metals|Copper_resistance|Copper_resistance_protein|CUTR,Metals,Copper resistance,Copper resistance protein,CUTR,,Unknown,Unknown,Unknown,Unknown
MEG_2461|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCA,Metals,Multi-metal resistance,Multi-metal RND efflux pumps,CZCA,,Unknown,Unknown,Unknown,Unknown
MEG_2462|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCA,Metals,Multi-metal resistance,Multi-metal RND efflux pumps,CZCA,,Unknown,Unknown,Unknown,Unknown
MEG_2463|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCB,Metals,Multi-metal resistance,Multi-metal RND efflux pumps,CZCB,,Unknown,Unknown,Unknown,Unknown
MEG_2464|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCB,Metals,Multi-metal resistance,Multi-metal RND efflux pumps,CZCB,,Unknown,Unknown,Unknown,Unknown
